# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.573983e+01	1.698695e-28
1.577611e+01	1.711653e-28
1.581248e+01	1.721421e-28
1.584893e+01	1.734509e-28
1.588547e+01	1.747673e-28
1.592209e+01	1.757595e-28
1.595879e+01	1.770891e-28
1.599558e+01	1.784262e-28
1.603245e+01	1.794340e-28
1.606941e+01	1.807844e-28
1.610646e+01	1.821424e-28
1.614359e+01	1.831659e-28
1.618080e+01	1.845373e-28
1.621810e+01	1.859164e-28
1.625549e+01	1.873032e-28
1.629296e+01	1.883483e-28
1.633052e+01	1.897485e-28
1.636817e+01	1.911566e-28
1.640590e+01	1.925723e-28
1.644372e+01	1.936393e-28
1.648162e+01	1.950687e-28
1.651962e+01	1.965060e-28
1.655770e+01	1.979510e-28
1.659587e+01	1.994040e-28
1.663413e+01	2.004989e-28
1.667247e+01	2.019657e-28
1.671091e+01	2.034403e-28
1.674943e+01	2.049229e-28
1.678804e+01	2.064135e-28
1.682674e+01	2.079119e-28
1.686553e+01	2.094185e-28
1.690441e+01	2.105535e-28
1.694338e+01	2.120741e-28
1.698244e+01	2.136025e-28
1.702159e+01	2.151391e-28
1.706082e+01	2.166837e-28
1.710015e+01	2.182365e-28
1.713957e+01	2.197972e-28
1.717908e+01	2.213662e-28
1.721869e+01	2.229432e-28
1.725838e+01	2.245284e-28
1.729816e+01	2.261217e-28
1.733804e+01	2.277232e-28
1.737801e+01	2.293329e-28
1.741807e+01	2.309508e-28
1.745822e+01	2.325768e-28
1.749847e+01	2.342112e-28
1.753881e+01	2.358538e-28
1.757924e+01	2.375046e-28
1.761976e+01	2.391638e-28
1.766038e+01	2.408311e-28
1.770109e+01	2.425069e-28
1.774189e+01	2.441908e-28
1.778279e+01	2.458832e-28
1.782379e+01	2.475838e-28
1.786488e+01	2.492929e-28
1.790606e+01	2.514409e-28
1.794734e+01	2.531687e-28
1.798871e+01	2.549049e-28
1.803018e+01	2.566496e-28
1.807174e+01	2.584026e-28
1.811340e+01	2.601641e-28
1.815516e+01	2.623778e-28
1.819701e+01	2.641583e-28
1.823896e+01	2.659472e-28
1.828100e+01	2.677446e-28
1.832314e+01	2.695504e-28
1.836538e+01	2.718198e-28
1.840772e+01	2.736447e-28
1.845015e+01	2.754783e-28
1.849269e+01	2.773203e-28
1.853532e+01	2.796349e-28
